iter	Passed	Remaining
543	35618	29856
544	35683	29790
545	35754	29730
546	35816	29661
547	35880	29594
548	35948	29531
549	36014	29466
550	36078	29399
551	36142	29333
552	36206	29266
553	36269	29198
554	36336	29134
555	36404	29071
556	36467	29003
557	36534	28939
558	36602	28875
559	36667	28809
560	36733	28744
561	36799	28680
562	36863	28613
563	36933	28551
564	37000	28486
565	37068	28423
566	37134	28358
567	37198	28292
568	37263	28226
569	37329	28160
570	37395	28096
571	37462	28031
572	37529	27967
573	37599	27904
574	37665	27839
575	37729	27773
576	37795	27707
577	37859	27641
578	37928	27578
579	37995	27514
580	38062	27449
581	38131	27386
582	38196	27320
583	38259	27253
584	38322	27185
585	38389	27121
586	38458	27058
587	38524	26993
588	38589	26927
589	38652	26860
590	38717	26794
591	38785	26730
592	38850	26664
593	38913	26597
594	38982	26534
595	39048	26469
596	39112	26402
597	39176	26336
598	39241	26270
599	39307	26204
600	39371	26138
601	39434	26071
602	39499	26005
603	39566	25941
604	39633	25876
605	39697	25809
606	39765	25746
607	39830	25679
608	39894	25613
609	39960	25548
610	40025	25482
611	40093	25418
612	40160	25354
613	40228	25290
614	40297	25226
615	40367	25163
616	40430	25097
617	40497	25032
618	40560	24965
619	40625	24899
620	40690	24833
621	40758	24769
622	40822	24702
623	40886	24636
624	40951	24570
625	41016	24504
626	41081	24439
627	41146	24373
628	41211	24307
629	41277	24242
630	41343	24177
631	41413	24114
632	41478	24048
633	41542	23981
634	41609	23917
635	41672	23850
636	41738	23784
637	41800	23717
638	41870	23654
639	41938	23590
640	42004	23524
641	42070	23459
642	42136	23394
643	42199	23327
644	42262	23261
645	42325	23193
646	42392	23129
647	42458	23064
648	42523	22998
649	42591	22933
650	42659	22869
651	42730	22807
652	42795	22741
653	42866	22678
654	42936	22615
655	42999	22548
656	43063	22482
657	43128	22416
658	43193	22350
659	43258	22284
660	43326	22220
661	43391	22154
662	43455	22088
663	43521	22023
664	43586	21957
665	43649	21890
666	43713	21823
667	43780	21759
668	43842	21692
669	43908	21626
670	43976	21562
671	44043	21497
672	44108	21431
673	44175	21366
674	44240	21300
675	44303	21234
676	44367	21167
677	44430	21101
678	44496	21035
679	44559	20969
680	44625	20903
681	44689	20837
682	44754	20771
683	44819	20705
684	44882	20639
685	44948	20574
686	45013	20508
687	45076	20441
688	45142	20376
689	45204	20309
690	45269	20243
691	45336	20178
692	45401	20112
693	45465	20046
694	45533	19982
695	45601	19917
696	45666	19852
697	45729	19785
698	45793	19719
699	45857	19653
700	45924	19588
701	45989	19522
702	46055	19457
703	46122	19392
704	46187	19326
705	46254	19261
706	46318	19195
707	46382	19129
708	46450	19065
709	46514	18998
710	46577	18932
711	46643	18866
712	46708	18801
713	46773	18735
714	46837	18669
715	46903	18604
716	46969	18539
717	47039	18475
718	47104	18409
719	47169	18343
720	47235	18278
721	47299	18212
722	47367	18147
723	47431	18081
724	47496	18015
725	47564	17951
726	47631	17886
727	47695	17820
728	47764	17756
729	47831	17690
730	47898	17626
731	47966	17561
732	48031	17495
733	48099	17430
734	48164	17365
735	48231	17300
736	48295	17234
737	48361	17169
738	48428	17103
739	48491	17037
740	48559	16973
741	48626	16907
742	48691	16842
743	48756	16776
744	48822	16711
745	48887	16645
746	48952	16579
747	49019	16514
748	49085	16449
749	49150	16383
750	49217	16318
751	49285	16253
752	49352	16188
753	49418	16123
754	49482	16057
755	49548	15991
756	49612	15925
757	49675	15859
758	49738	15793
759	49803	15727
760	49868	15661
761	49938	15597
762	50007	15533
763	50079	15469
764	50145	15404
765	50207	15337
766	50271	15271
767	50337	15206
768	50405	15141
769	50471	15075
770	50539	15011
771	50611	14947
772	50682	14883
773	50748	14817
774	50814	14752
775	50878	14686
776	50946	14621
777	51012	14556
778	51075	14489
779	51141	14424
780	51207	14358
781	51272	14293
782	51337	14227
783	51401	14161
784	51467	14096
785	51535	14031
786	51599	13965
787	51664	13899
788	51728	13833
789	51794	13768
790	51859	13702
791	51931	13638
792	51997	13573
793	52060	13506
794	52125	13441
795	52193	13376
796	52259	13310
797	52323	13244
798	52388	13179
799	52452	13113
800	52519	13047
801	52587	12982
802	52653	12917
803	52721	12852
804	52796	12789
805	52861	12723
806	52930	12658
807	52995	12592
808	53061	12527
809	53126	12461
810	53190	12395
811	53257	12330
812	53321	12264
813	53387	12199
814	53453	12133
815	53517	12067
816	53583	12002
817	53648	11936
818	53713	11870
819	53777	11804
820	53843	11739
821	53909	11673
822	53974	11608
823	54040	11542
824	54106	11477
825	54171	11411
826	54236	11345
827	54302	11280
828	54370	11215
829	54436	11149
830	54501	11083
831	54565	11018
832	54627	10951
833	54689	10885
834	54754	10819
835	54818	10753
836	54882	10687
837	54949	10622
838	55012	10556
839	55077	10490
840	55141	10425
841	55203	10358
842	55271	10293
843	55336	10228
844	55401	10162
845	55464	10096
846	55528	10030
847	55594	9965
848	55661	9899
849	55725	9833
850	55789	9768
851	55851	9701
852	55917	9636
853	55983	9570
854	56048	9505
855	56113	9439
856	56180	9374
857	56246	9308
858	56312	9243
859	56375	9177
860	56440	9111
861	56503	9045
862	56569	8980
863	56634	8914
864	56698	8848
865	56764	8783
